,Question,Right,Wrong
492,What are some things scientists want to know about space?,"Scientists want to know what planets are made of, how stars are born and how galaxies were formed.",Scientists want to know what color aliens' hair is.
493,What is a microscope used for?,"A microscope is used to see things that are too small to see with the naked eye, like cells.",A microscope is used to measure the temperature.
494,What is a telescope used for?,"A telescope is used to see things that are very far away, like stars and planets.",A telescope is used to change the TV channel.
495,What is a magnet?,A magnet is something that can pull some kinds of metal toward it.,A magnet is a type of fruit.
496,What happens when you mix baking soda and vinegar?,"Mixing baking soda and vinegar together makes a fizzy reaction, kind of like a volcano.",Mixing baking soda and vinegar together makes a rainbow.
497,What is an ecosystem?,An ecosystem is all the living and nonliving things in a place.,An ecosystem is a type of toy.
498,What is a germs?,Germs are tiny things that can make you sick.,Germs are giant creatures that live in the forest.
499,What is water?,"Water is a clear, odorless, tasteless liquid that we need to live.",Water is a kind of solid food.
500,What is weather?,"Weather is what it's like outside, like how hot it is and if it's raining or not.",Weather is a type of animal.
501,What is the sun?,"The sun is a big, hot star that sits at the center of our solar system.",The sun is a type of fruit.
502,What is a rainbow?,A rainbow is a colorful arch in the sky that we see when the sun shines on rain.,A rainbow is a type of sandwich.
503,What is the moon?,The moon is a large rock that orbits around the Earth.,The moon is a type of animal.
504,What is a star?,A star is a giant ball of hot gases that shines in the sky at night.,A star is a type of hat.
505,What is day?,Day is the time when the sun is up and shining.,Day is a type of food.
506,What is night?,Night is the time when the sun is down and it's dark outside.,Night is a type of animal.
507,What is the Earth?,Earth is the planet we live on.,Earth is a type of tree.
508,What is gravity?,Gravity is the force that pulls things toward each other.,Gravity is a type of fruit.
509,What is a planet?,A planet is a big ball of rock or gas that orbits around a star.,A planet is a type of toy.
510,What is a constellation?,A constellation is a group of stars that make a certain shape in the sky.,A constellation is a type of sandwich.
511,What is a meteor?,A meteor is a piece of rock or metal that burns up in the Earth's atmosphere.,A meteor is a type of fruit.
512,What is astronomy?,"Astronomy is the study of stars, planets, and other things in space.",Astronomy is the study of ants.
513,What is an eclipse?,"An eclipse is when the Earth, sun and moon line up and the moon blocks the sun or the Earth's shadow falls on the moon.",An eclipse is a type of sandwich.
514,What is a fossil?,A fossil is a trace or remains of a plant or animal that lived long ago.,A fossil is a type of food.
515,What is a volcano?,"A volcano is a mountain that can erupt, spewing hot lava and gases out of its vent.",A volcano is a type of animal.
516,What is a hurricane?,"A hurricane is a huge storm with strong winds, rain, and thunder that can be very dangerous.",A hurricane is a type of hat.
517,What is erosion?,Erosion is when wind or water break down rock and soil over time.,Erosion is a type of animal.
518,What are the four seasons?,"The four seasons are spring, summer, fall, and winter.","The four seasons are morning, lunchtime, recess, and bedtime."
519,What is a cloud?,A cloud is a mass of water droplets or ice crystals in the sky.,A cloud is a type of sandwich.
520,What is photosynthesis?,"Photosynthesis is the process by which plants use sunlight, carbon dioxide, and water to make food.",Photosynthesis is a type of animal.
521,What is a seed?,A seed is a tiny part of a plant from which a new plant can grow.,A seed is a type of fruit.
522,What is digestion?,Digestion is how our bodies break down food into smaller pieces to get nutrients and energy.,Digestion is a type of dance.
523,What is a bee?,A bee is an insect that can fly and is known for making honey.,A bee is a type of bird.
524,What is a butterfly?,A butterfly is an insect with colorful wings that goes through a process called metamorphosis to become an adult.,A butterfly is a type of fruit.
525,What is a food chain?,A food chain shows how living things rely on each other for food.,A food chain is a group of people eating lunch.
526,What is mathematics?,"Mathematics is the study of numbers, quantities, and shapes.",Mathematics is the study of history.
527,What are numbers?,Numbers are symbols used to represent quantities or amounts.,Numbers are letters in the alphabet.
528,What is addition?,Addition is combining numbers to get a total.,Addition is subtracting numbers.
529,What is subtraction?,Subtraction is taking away one number from another.,Subtraction is adding numbers together.
530,What is multiplication?,Multiplication is adding a number to itself several times.,Multiplication is subtracting numbers.
531,What is division?,Division is splitting a number into equal parts.,Division is adding numbers together.
532,What is a shape?,A shape is the form or outline of an object.,A shape is a type of food.
533,What is a circle?,A circle is a shape that is round and has no corners.,A circle is a shape that is square.
534,What is a square?,A square is a shape that has four equal sides and four corners.,A square is a shape that is round.
535,What is a triangle?,A triangle is a shape that has three sides and three corners.,A triangle is a shape that has four sides.
536,What is a rectangle?,A rectangle is a shape that has four sides and four right angles.,A rectangle is a shape that has two sides.
537,What is a line?,A line is a straight path that goes on forever.,A line is a squiggly path.
538,What is a curve?,A curve is a line that bends gradually.,A curve is a straight line.
539,What is a fraction?,A fraction is a part of a whole.,A fraction is a whole number.
540,What is a half?,A half is one of two equal parts.,A half is an entire thing.
541,What is a quarter?,A quarter is one of four equal parts of a whole.,A quarter is one of three equal parts of a whole.
542,What is a whole number?,A whole number is a number that is not a fraction or decimal.,A whole number is always even.
543,What is an even number?,An even number is a number that can be divided exactly by 2.,An even number is always odd.
544,What is an odd number?,An odd number is a number that cannot be divided exactly by 2.,An odd number is always even.
545,What is counting?,Counting is saying numbers in order.,Counting is mixing up numbers.
546,What comes after 2?,After 2 comes 3.,After 2 comes 6.
547,What comes before 9?,Before 9 comes 8.,Before 9 comes 10.
548,What is a number line?,A number line is a visual representation of numbers in order.,A number line is a wiggly line.
549,What is a clock?,A clock is a device used to tell time.,A clock is a toy.
550,What is time?,Time is a measurement of how long something lasts.,Time is a type of food.
551,What is a minute?,A minute is a unit of time equal to sixty seconds.,A minute is a unit of time equal to one hour.
552,What is an hour?,An hour is a unit of time equal to sixty minutes.,An hour is a unit of time equal to thirty minutes.
553,What is a calendar?,A calendar is a tool used to organize days and months.,A calendar is a toy.
554,What is a month?,A month is a unit of time that is usually four weeks long.,A month is a unit of time that is usually two weeks long.
555,What is a year?,A year is a unit of time that is 365 days long (or 366 in a leap year).,A year is a unit of time that is 100 days long.
556,What is a pattern?,A pattern is something that repeats.,A pattern is something that never repeats.
557,What are shapes in a pattern?,Shapes in a pattern repeat in a certain order.,Shapes in a pattern don't repeat.
558,What is estimation?,Estimation is making a guess based on what you know.,Estimation is finding the exact answer.
559,What is money?,Money is what we use to buy things.,Money is food.
560,What is a coin?,A coin is a small flat piece of metal used as money.,A coin is a type of food.
561,What is a dollar bill?,A dollar bill is a piece of paper money worth one dollar.,A dollar bill is a type of toy.
562,What is 10 cents?,10 cents is equal to one-tenth of a dollar (or one dime).,10 cents is equal to one-fourth of a dollar (or one quarter).
563,What is 5 cents?,5 cents is equal to one-twentieth of a dollar (or one nickel).,5 cents is equal to one-tenth of a dollar.
564,What is a piggy bank?,A piggy bank is a container used to save money.,A piggy bank is a toy.
565,What is a ruler?,A ruler is a tool used to measure length or distance.,A ruler is a toy.
566,What is a thermometer?,A thermometer is a tool used to measure temperature.,A thermometer is a toy.
567,What is a scale?,A scale is a tool used to measure weight or mass.,A scale is a type of food.
568,What is a graph?,A graph is a visual representation of data.,A graph is a type of food.
569,What is art?,"Art is a creative activity that expresses ideas, emotions, or aesthetics.",Art is a type of food.
570,Can people make art out of anything?,"Yes, people can make art out of almost anything!","No, people can only make art out of paper."
571,What are some different types of art materials?,"Paint, clay, markers, pencils, and crayons are some different types of art materials.",Computers and televisions are types of art materials.
572,What is a painting?,A painting is a picture that someone has created using paint.,A painting is a type of food.
573,What is a sculpture?,A sculpture is a 3-dimensional artwork that someone has created.,A sculpture is a type of toy.
574,Can you use your imagination to make art?,"Yes, you can use your imagination to make all kinds of art!","No, you can only make art by copying someone else's ideas."
575,What is a portrait?,A portrait is a painting or drawing that shows a person's face.,A portrait is a type of animal.
576,What is a still life?,"A still life is a painting or drawing of objects that don't move, like fruit or furniture.",A still life is a type of dance.
577,What is an abstract painting?,An abstract painting doesn't show anything that can be easily recognized.,An abstract painting is a painting of someone's face.
578,What is a landscape?,"A landscape is a painting or drawing of a scene outdoors, like mountains or trees.",A landscape is a type of swimming pool.
579,What is a collage?,"A collage is a picture made by combining different materials, like paper, fabric, or photos.",A collage is a type of candy.
580,Can anyone be an artist?,"Yes, anyone can be an artist if they want to be!","No, only special people can be artists."
581,What is a sketchbook?,A sketchbook is a book that artists use to draw in.,A sketchbook is a type of musical instrument.
582,Can you make art by using your hands?,"Yes, you can make art by using your hands!","No, you can only make art by using your feet."
583,What is a mural?,"A mural is a painting or drawing that covers a large surface, like a wall.",A mural is a type of sandwich.
584,What is a stained glass window?,A stained glass window is a window made out of colored glass.,A stained glass window is a type of plant.
585,What is a print?,A print is a picture that has been made by pressing ink onto paper.,A print is a type of hat.
586,What is perspective?,Perspective is a way of drawing things so that they look like they're further away or closer to us.,Perspective is a type of candy.
587,What is a sculpture garden?,A sculpture garden is a type of outdoor art museum where people can walk around and see different sculptures.,A sculpture garden is a type of video game.
588,What is a color wheel?,A color wheel is a circle made up of different colors that artists use to help them decide which colors to use in their art.,A color wheel is a type of toy.
589,What is a still camera?,A still camera is a camera that takes pictures of things that don't move.,A still camera is a type of musical instrument.
590,What is a moving camera?,A moving camera is a camera that takes pictures of things that are moving.,A moving camera is a type of bird.
591,What is an art museum?,An art museum is a place where people can go to see different kinds of art.,An art museum is a type of amusement park.
592,What is mixed media?,"Mixed media is art made by using different materials, like paint, paper, and fabric.",Mixed media is a type of food.
593,What is graffiti?,Graffiti is a type of street art made by writing or drawing on buildings or walls.,Graffiti is a type of tree.
594,What is calligraphy?,Calligraphy is a type of writing that is beautiful and artistic.,Calligraphy is a type of food.
595,What is animation?,"Animation is a way of making pictures move, like in cartoons.",Animation is a type of car.
596,What is perspective drawing?,Perspective drawing is a way of making things look like they're closer or farther away in a picture.,Perspective drawing is a type of candy.
597,What is shading?,Shading is a way of using dark and light colors to make things look three-dimensional.,Shading is a type of dance.
598,What is symmetry?,"Symmetry is when something is exactly the same on both sides, like a butterfly's wings.",Symmetry is a type of building.
599,What is a graphic novel?,A graphic novel is a book that tells a story using comics and pictures.,A graphic novel is a type of fruit.
600,Who is Salvador Dali?,Salvador Dali is a famous artist from Spain who made surreal paintings.,Salvador Dali is a type of animal.
601,What is surrealism?,Surrealism is a kind of art that shows strange and dream-like things.,Surrealism is a type of house.
602,Who is Vincent Van Gogh?,Vincent Van Gogh is a famous artist from the Netherlands who painted many colorful pictures of things like sunflowers and starry skies.,Vincent Van Gogh is a type of car.
603,What is pointillism?,Pointillism is a way of making pictures by putting small dots of color very close together.,Pointillism is a type of music.
604,What is a self-portrait?,A self-portrait is a picture that someone makes of themselves.,A self-portrait is a type of sandwich.
605,What is a pop-up book?,A pop-up book is a book that has different pages that pop up and stand up when you open it.,A pop-up book is a type of toy.
606,What is a storyboard?,A storyboard is a way of planning out a story or movie by drawing pictures.,A storyboard is a type of chair.
607,What is graffiti art?,Graffiti art is a form of street art that is colorful and creative.,Graffiti art is just writing your name on a building.
608,What is watercolor paint?,Watercolor paint is a kind of paint that is transparent and watery.,Watercolor paint is a kind of oil.
609,What is a monochromatic color scheme?,A monochromatic color scheme is when someone uses different shades of the same color in their art.,A monochromatic color scheme is a type of bird.
610,What is a diorama?,"A diorama is a 3-dimensional scene that someone makes out of different materials, like a shoebox or paper.",A diorama is a type of cake.
611,What is a silhouette?,"A silhouette is a picture that shows something's shape, but not its details or colors.",A silhouette is a type of shoe.
612,What is a caricature?,A caricature is a drawing or painting that exaggerates someone's features or personality.,A caricature is a type of chair.
613,What is a portrait artist?,A portrait artist is someone who makes paintings or drawings of people's faces.,A portrait artist is a type of animal.
614,What is a mural artist?,"A mural artist is someone who makes paintings or drawings that cover a large surface, like a wall.",A mural artist is a type of food.
615,What is a landscape artist?,"A landscape artist is someone who makes paintings or drawings of outdoor scenes, like mountains or forests.",A landscape artist is a type of toy.
616,What is technology?,Technology is anything that humans make to help them solve problems or make their lives easier.,Technology is only electronic devices.
617,What is a computer?,A computer is an electronic machine that can store and process information.,A computer is a kind of fruit.
618,What is a smartphone?,A smartphone is a type of phone that can access the internet and run apps.,A smartphone is a kind of pencil.
619,What is a tablet?,A tablet is a type of computer that is smaller and lighter than a laptop.,A tablet is a type of fruit.
620,What is a keyboard?,A keyboard is a device used to type letters and numbers into a computer or other electronic device.,A keyboard is used to stir soup.
621,What is a mouse?,A mouse is a device used to move a cursor on a computer screen.,A mouse is an animal that says meow.
622,What is a monitor?,A monitor is a device used to display images from a computer or other electronic device.,A monitor is a type of toilet.
623,What is a camera?,A camera is a device used to take pictures or videos.,A camera is a type of pizza.
624,What is a printer?,A printer is a device used to print text or images onto paper.,A printer is used to make ice cream.
625,What is the internet?,"The internet is a network of computers and other devices connected around the world, allowing people to communicate and share information.",The internet is a type of bug.
626,What is social media?,"Social media is a way for people to connect and share information online, like Facebook or Instagram.",Social media is a type of food.
627,What is email?,Email is a way to send messages and information electronically using the internet.,Email is a way to send messages by putting them in a bottle and throwing them in the ocean.
628,What is a video game?,A video game is an electronic game played on a computer or other device.,A video game is a type of sandwich.
629,What is an app?,"An app is a computer program designed to perform a specific task, like a game or calculator.",An app is a type of bird.
630,What is a password?,A password is a secret word or phrase used to access a computer or online account.,A password is a type of fish.
631,What is a charger?,"A charger is a device used to charge the battery of an electronic device, like a phone or tablet.",A charger is used to cut hair.
632,What is a power button?,A power button is a button used to turn a device on or off.,A power button is used to plant flowers.
633,What is a Wi-Fi network?,A Wi-Fi network is a wireless network that allows devices to connect to the internet.,A Wi-Fi network is a type of shoe.
634,What is a USB drive?,A USB drive is a small device used to store and transfer electronic data.,A USB drive is a type of candy.
635,What is a headphone?,A headphone is a device worn over the ears to listen to music or other sounds.,A headphone is a type of pencil.
636,What is a speaker?,A speaker is a device used to play sound.,A speaker is a type of animal.
637,What is a touch screen?,A touch screen is a computer screen that responds when a person touches it.,A touch screen is a type of fruit.
638,What is a webcam?,A webcam is a camera used to record video or take pictures for the internet.,A webcam is a type of sandwich.
639,What is a search engine?,A search engine is a computer program used to find information on the internet.,A search engine is a type of car.
640,What is a GPS?,A GPS is a device used to navigate by using satellite signals to determine location.,A GPS is a type of plant.
641,What is a drone?,"A drone is a type of device flown remotely by a person to take pictures, deliver items, or perform other tasks.",A drone is a type of insect.
642,What is Bluetooth?,"Bluetooth is a wireless technology used to connect devices to each other, like headphones to a phone.",Bluetooth is a type of food.
643,What is a QR code?,A QR code is a type of barcode used to store information that can be accessed using a smartphone or other device.,A QR code is a type of car.
644,What is a flash drive?,A flash drive is a small device used to store and transfer electronic data.,A flash drive is a type of candy.
645,What is a virus?,A virus is a type of software designed to harm or disrupt a computer or other electronic device.,A virus is a type of vegetable.
646,What is a firewall?,A firewall is a type of security software used to protect a computer or other electronic device from unauthorized access.,A firewall is a type of grill.
647,What is a software?,A software is a collection of instructions stored on a computer that tell it what to do.,A software is a type of animal.
648,What is a hardware?,A hardware is the physical components of a computer or other electronic device.,A hardware is a type of fruit.
649,What is a browser?,A browser is a computer program used to access and navigate the internet.,A browser is a type of bird.
650,What is a URL?,A URL is a type of web address used to locate information on the internet.,A URL is a type of animal.
651,What is a spam?,"A spam is unwanted electronic messages, often sent by email.",A spam is a type of food.
652,What is a computer game?,A computer game is a type of game played on a computer or other electronic device.,A computer game is a type of book.
653,What is a computer virus?,A computer virus is a type of software designed to harm or disrupt a computer or other electronic device.,A computer virus is a type of fruit.
654,What is streaming?,Streaming is the process of playing video or audio content on the internet without having to download it first.,Streaming is a type of snake.
655,What is a cloud?,The cloud is a network of remote servers used to store and process data over the internet.,A cloud is a type of bird.
656,What is an operating system?,An operating system is software that manages the basic functions of a computer or other electronic device.,An operating system is a type of food.
657,What is a file?,A file is a collection of data that is stored on a computer or other electronic device.,A file is a type of animal.
658,What is a folder?,A folder is a container used to store and organize files on a computer or other electronic device.,A folder is a type of plant.
659,What is a CPU?,A CPU is the central processing unit of a computer that performs all of the calculations and other operations.,A CPU is a type of fruit.
660,What is software piracy?,Software piracy is the unauthorized use or distribution of copyrighted software.,Software piracy is a type of seafood.
661,What is politics?,Politics is the process of making decisions for a group of people.,Politics is the process of making decisions for one person.
662,Who is the leader of your country?,"It depends on the country, but some examples are: the President, Prime Minister, or Chancellor.",There is no leader.
663,What is a democracy?,A democracy is a system of government where people vote to choose their leaders and decide on laws.,A democracy is a system of government where leaders are chosen by the military.
664,What is a political party?,A political party is a group of people who share similar beliefs about how a country should be governed and work together to try to get their candidates elected.,A political party is a group of people who like to have parties.
665,What is a campaign?,"A campaign is when a person who is running for office tries to convince people to vote for them by giving speeches, making commercials, and meeting with voters.",A campaign is a type of dance.
666,What is a vote?,A vote is when someone makes a choice about who they want to have in office or if they want a law to be passed or not.,A vote is when someone chooses what they want to eat for lunch.
667,What is the capital city of your country?,"It depends on the country, but some examples are: Washington D.C., London, Beijing, or Paris.",There is no capital city.
668,What is a flag?,A flag is a symbol of a country or group of people.,A flag is a type of food.
669,What does it mean to be a citizen?,Being a citizen means that you are a member of a specific country and have rights and responsibilities.,Being a citizen means you are from Mars.
670,What is a law?,A law is a rule that people must follow.,A law is a type of animal.
671,What is the White House?,The White House is the home of the President of the United States.,The White House is a type of cake.
672,What is the United Nations?,"The United Nations is an organization where countries work together to try to solve problems like poverty, disease, and war.",The United Nations is a type of airplane.
673,What is a constitution?,A constitution is a set of rules that a government follows and guarantees the rights of the people who live in that country.,A constitution is a type of fruit.
674,Who can vote?,"It depends on the country, but usually adults who are citizens can vote.",Everyone can vote.
675,What is a mayor?,A mayor is the leader of a city.,A mayor is a type of animal.
676,What is a governor?,A governor is the leader of a state or province.,A governor is a type of fruit.
677,What is a senator?,A senator is a person elected to serve in a legislative body like the United States Senate.,A senator is a type of car.
678,What is a president?,A president is the leader of a country.,A president is a type of animal.
679,What is a monarchy?,"A monarchy is a system of government where one person, usually a king or queen, has all the power.",A monarchy is a type of house.
680,What is a dictatorship?,A dictatorship is a system of government where one person has all the power and makes all the decisions.,A dictatorship is a type of dessert.
681,What is a congress?,A congress is a group of people who are elected to make laws and decisions for a country.,A congress is a type of game.
682,What is an embassy?,An embassy is a building where representatives from one country can work and live in another country.,An embassy is a type of fruit.
683,What is a treaty?,A treaty is an agreement between two or more countries or groups to solve a problem or work together.,A treaty is a type of bird.
684,What is diplomacy?,Diplomacy is the art of working with other countries to solve problems without using force.,Diplomacy is a type of food.
685,What is the Bill of Rights?,The Bill of Rights is the first ten amendments to the United States Constitution that protect the rights of citizens.,The Bill of Rights is a type of book.
686,What is a cabinet?,A cabinet is a group of people who are chosen by the leader of a country to help make important decisions.,A cabinet is a type of chair.
687,What is a political protest?,A political protest is a way for people to express their disagreement with a decision made by the government or speak out about an issue that they believe is important.,A political protest is a type of parade.
688,What is the Supreme Court?,The Supreme Court is the highest court in the United States that decides if a law is constitutional or not.,The Supreme Court is a type of music.
689,What is the NATO?,NATO is an organization that stands for the North Atlantic Treaty Organization and is made up of countries that work together to keep peace and security.,NATO is a type of animal.
690,What is the European Union?,"The European Union is a group of countries in Europe that work together to make decisions about trade, laws, and other important issues.",The European Union is a type of house.
691,What is a ballot?,A ballot is a sheet of paper used when voting to indicate who a voter wants to elect or which decision they want to make.,A ballot is a type of ball.
692,What is an election?,An election is when people vote to choose people to hold public office or to make important decisions.,An election is a type of party.
693,What is an impeachment?,An impeachment is when a government official is accused of doing something wrong and is put on trial to see if they should be removed from their job.,An impeachment is a type of art.
694,What is a lobbyist?,A lobbyist is a person who tries to influence people who make decisions in government.,A lobbyist is a type of animal.
695,What is a political platform?,A political platform is a list of beliefs and goals that a political party wants to achieve.,A political platform is a type of dance.
696,What is foreign policy?,"Foreign policy is the way that a country interacts with other countries in areas like trade, military alliances, and diplomacy.",Foreign policy is a type of food.
697,What is an ambassador?,An ambassador is a person who represents their country in another country by working with other officials and performing diplomatic duties.,An ambassador is a type of car.
698,What is a caucus?,A caucus is a meeting where members of a political party talk about issues and choose which candidates they want to support.,A caucus is a type of race.
699,What is a filibuster?,A filibuster is a tactic used in government where a person talks for a long time to prevent a decision from being made.,A filibuster is a type of bird.
700,What is the electoral college?,The electoral college is a group of people who are chosen to vote for the President of the United States.,The electoral college is a type of school.
701,What is a term limit?,A term limit is a rule that says how many times a person can be elected to a specific office before they must step down.,A term limit is a type of fruit.
702,What is a political endorsement?,A political endorsement is when a person or organization supports a particular political candidate or party.,A political endorsement is a type of toy.
703,What is a veto?,A veto is when the leader of a government refuses to approve a law that has been passed by lawmakers.,A veto is a type of food.
704,What does it mean to be bipartisan?,Being bipartisan means that people from different political parties work together to try to solve problems.,Being bipartisan means that people speak more than one language.
705,What is a lobbyist?,A lobbyist is a person who tries to influence people who make decisions in government.,A lobbyist is a type of animal.
706,What is business?,Business is a way to make money by selling goods or services.,Business is a type of animal.
707,What is economy?,"Economy is the system of how money and goods are produced, traded, and used.",Economy is a type of tree.
708,What is money?,Money is a medium of exchange that is used to buy goods and services.,Money is a type of food.
709,What is a bank?,"A bank is a place where people can deposit and withdraw money, get loans, and open accounts.",A bank is a type of car.
710,What is profit?,Profit is the money that is left over after you subtract the costs from the revenue.,Profit is the amount of sleep you get.
711,What is a loan?,A loan is money that is borrowed and needs to be paid back with interest over time.,A loan is a type of toy.
712,What is a budget?,A budget is a plan for how to spend money and save money.,A budget is a type of animal.
713,What is a salary?,A salary is the money that someone earns for doing a job over a period of time.,A salary is a type of food.
714,What is inflation?,Inflation is when the prices of goods and services increase over time.,Inflation is when things shrink.
715,What is demand?,Demand is how much people want to buy a certain product or service.,Demand is how fast you can run.
716,What is supply?,Supply is how much of a product or service is available for sale.,Supply is a type of clothing.
717,What is a market?,A market is a place where people buy and sell goods and services.,A market is a type of animal.
718,What are stocks?,Stocks are shares in a company that people can buy and sell in the stock market.,Stocks are types of toys.
719,What is a dividend?,A dividend is money that a company pays to its shareholders.,A dividend is a type of tree.
720,What is profit margin?,Profit margin is the percentage of the revenue that is profit.,Profit margin is a type of food.
721,What is overhead?,Overhead is the expenses a business has to pay that are not directly related to making a product or service.,Overhead is a type of clothing.
722,What is entrepreneurship?,Entrepreneurship is starting and running a business.,Entrepreneurship is a type of animal.
723,What is a corporation?,A corporation is a type of business that is owned by shareholders.,A corporation is a type of toy.
724,What is a partnership?,A partnership is when two or more people start a business together.,A partnership is a type of car.
725,What is a business plan?,A business plan is a document that outlines a business's goals and how it will achieve them.,A business plan is a type of food.
726,What is marketing?,Marketing is the process of promoting and selling a product or service.,Marketing is a type of clothing.
727,What is a contract?,A contract is an agreement between two or more parties that is legally binding.,A contract is a type of animal.
728,What is a franchise?,A franchise is a type of business where a person pays to use the name and business model of an already established company.,A franchise is a type of tree.
729,What is outsourcing?,Outsourcing is when a company hires another company to do a task or service.,Outsourcing is a type of food.
730,What is a merger?,A merger is when two or more companies combine into one company.,A merger is a type of car.
731,What is a monopoly?,A monopoly is when one company has complete control over a product or service in a market.,A monopoly is a type of toy.
732,What is a tariff?,A tariff is a tax on imported or exported goods.,A tariff is a type of food.
733,What is banking?,Banking is the business of overseeing financial transactions and services.,Banking is a type of animal.
734,What is finance?,Finance is the study of managing money and investments.,Finance is a type of clothing.
735,What is capital?,Capital is money or assets that are used to start or run a business.,Capital is a type of toy.
736,What is a recession?,A recession is when the economy shrinks for two or more quarters in a row.,A recession is when things grow really fast.
737,What is a profession?,A profession is a job that requires a specific set of skills and education.,A profession is a type of food.
738,What is a trade?,"A trade is a job that involves working with your hands, such as carpentry or welding.",A trade is a type of animal.
739,What is a factory?,A factory is a building where goods are manufactured or assembled.,A factory is a type of car.
740,What is a strike?,A strike is when workers refuse to work until their employer meets their demands.,A strike is a type of food.
741,What is insurance?,Insurance is a service that protects people from financial loss due to unforeseen events.,Insurance is a type of tree.
742,What is a credit score?,A credit score is a number assigned to a person that represents their creditworthiness.,A credit score is a type of toy.
743,What is a debit card?,A debit card is a card that allows you to withdraw money from your bank account or make purchases.,A debit card is a type of food.
744,What is a credit card?,A credit card is a card that allows you to borrow money that you need to pay back with interest.,A credit card is a type of clothing.
745,What is a tax?,A tax is a mandatory payment that people and businesses have to make to the government.,A tax is a type of animal.
746,What is crowdfunding?,Crowdfunding is when people donate money to support a project or business.,Crowdfunding is a type of food.
747,What is a grant?,A grant is a sum of money given to a person or organization for a specific purpose.,A grant is a type of toy.
748,What is productivity?,Productivity is the measure of how effective someone is at completing tasks.,Productivity is a type of animal.
749,What is a bond?,A bond is a type of investment where a person lends money to a company or government entity.,A bond is a type of tree.
750,What is unemployment?,Unemployment is when people are not working and actively looking for a job.,Unemployment is when people have too many jobs.
751,What is a deductible?,A deductible is the amount of money a person pays before insurance coverage kicks in.,A deductible is a type of food.
752,What is an interest rate?,An interest rate is a percentage of how much it costs to borrow money or how much money is earned on investments.,An interest rate is a type of animal.
753,What is a subsidy?,A subsidy is a payment or grant provided by the government to support specific industries or businesses.,A subsidy is a type of toy.
754,What is school?,A place where kids go to learn.,A place where kids go to play.
755,Why is education important?,Education is important to learn many things and to have good opportunities when you grow up.,Education is not important.
756,What subjects do you learn in school?,"Math, Reading, Writing, Science, Social Studies, and Art.","Coloring, Playing video games, Singing songs, and Eating snacks."
757,Where is your classroom?,In school.,In a grocery store.
758,Who is your teacher?,Your teacher is the person who teaches you and helps you learn.,Your teacher is your mother.
759,What are some school supplies?,"Pencils, crayons, paper, scissors, and glue.","Toys, candy, and ice cream."
760,What does the ABC song help you learn?,It helps you learn the alphabet.,It helps you learn how to tie your shoes.
761,What is the alphabet?,The letters we use to read and write.,A book.
762,What is a number?,A symbol that represents a quantity or value.,A color.
763,What is the highest number you know?,"It varies from child to child, but common answers include 10, 100, or 1000.",3.
764,What is an addition?,When you put two numbers together to get a bigger number.,When you take numbers away.
765,What is a subtraction?,When you take a number away from another number.,When you put two numbers together.
766,What is a shape?,A two-dimensional object with defined boundaries.,A three-dimensional object.
767,What is a color?,A property of light that is seen by our eyes and makes things look different.,A type of music.
768,What is a story?,"A narrative about events or characters told to entertain, educate or inspire.",A collection of random words.
769,Who is a friend?,A person you like and enjoy spending time with.,A person you don't like.
770,What is a community?,A group of people who live in the same place and share similar interests.,A group of robots.
771,Who are your grandparents?,The parents of your parents.,The parents of your friends.
772,What is a holiday?,A special day for celebration or remembrance.,A day when you go to school.
773,Who is the President?,It varies depending on the current year and the country the child is in.,A movie star.
774,What is a goal?,Something you want to achieve in the future.,Something you already have.
775,What is a question?,A sentence or phrase that asks for information.,A sentence or phrase that tells you something.
776,What is an answer?,A response to a question.,A question.
777,Who is your best friend?,The child's choice may vary.,No one.
778,What is a map?,A visual representation of an area.,A painting.
779,What is the weather like today?,The answer will vary depending on the current day and location.,No answer.
780,What is the capital city?,The largest and most important city in a country or region.,A small village.
781,Who is a hero?,Someone who has done something brave or outstanding for their community or country.,A villain.
782,What is the difference between right and wrong?,Right is the morally correct decision and wrong is the morally incorrect decision.,There is no difference.
783,What is a flag?,A piece of cloth with colors and symbols on it that represents a country or organization.,A blanket.
784,What is a computer?,"An electronic device that can process data, store data, and display information.",A book.
785,What is a teacher's job?,To teach kids and help them learn.,To play with kids.
786,Why do we celebrate birthdays?,To show someone we care about them and to celebrate another year of their life.,To eat cake.
787,What is the difference between morning and night?,Morning is when the sun is rising and night is when the sun is setting.,Morning is when you play and night is when you sleep.
788,What is a calendar?,"A list of days, weeks, and months organized in a specific order.",A list of toys.
789,What is a museum?,A place where you can see historical or artistic things.,A movie theater.
790,Why do we wash our hands?,To keep ourselves and others healthy by removing germs from our hands.,To get our hands wet.
791,How many days are there in a week?,7 days.,5 days.
792,Why do we wear a seatbelt?,To keep ourselves safe while driving or riding in a car.,To hold our clothes.
793,What is a doctor?,A person who helps keep us healthy or helps us when we are sick.,A firefighter.
794,Why do we exercise?,To help keep our bodies healthy and strong.,To get tired.
795,What is a zoo?,A place where you can see many different kinds of animals from all over the world.,A supermarket.
796,What is a guitar?,A musical instrument that typically has six strings.,A type of fruit.
797,What is a phone?,An electronic device that allows you to make calls and send messages to other people.,A toy.
798,What is a camera?,An electronic device that can capture and store images and sometimes video.,A piece of clothing.
799,What is a library?,A place where you can borrow books and learn new things.,A restaurant.
800,What is a bus?,A vehicle that transports people from one place to another.,A toy car.
